city,district,neighborhood,Fiyat,İlan Tarihi,İlan No,Marka,Seri,Model,Yıl,Yakıt,Vites,Araç Durumu,KM,Kasa Tipi,Motor Gücü,Motor Hacmi,Çekiş,Renk,Garanti,Ağır Hasar Kayıtlı,Plaka / Uyruk,Kimden,Takas
Tokat,Merkez,Karşıyaka Mh.,659.000 TL,25 Ekim 2024,1205868074,Fiat,Egea,1.3 Multijet Easy,2020,Dizel,Manuel,İkinci El,139.000,Sedan,95 hp,1248 cc,Önden Çekiş,Beyaz,Hayır,Hayır,Türkiye (TR) Plakalı,Sahibinden,Evet
İstanbul,Küçükçekmece,İstasyon Mh.,389.000 TL,25 Ekim 2024,1207092643,Fiat,Linea,1.3 Multijet Active Plus,2013,Dizel,Manuel,İkinci El,250.000,Sedan,95 hp,1248 cc,Önden Çekiş,Beyaz,Hayır,Hayır,Türkiye (TR) Plakalı,Sahibinden,Hayır
Antalya,Kepez,Yeni Emek Mah.,681.000 TL,25 Ekim 2024,1196914653,Fiat,Egea,1.6 Multijet Easy,2019,Dizel,Otomatik,İkinci El,101.000,Sedan,120 hp,1598 cc,Önden Çekiş,Beyaz,Hayır,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
İstanbul,Beylikdüzü,Kavaklı Mh.,333.500 TL,25 Ekim 2024,1207087045,Fiat,Linea,1.3 Multijet Pop,2015,Dizel,Manuel,İkinci El,193.000,Sedan,95 hp,1248 cc,Önden Çekiş,Beyaz,Hayır,Evet,Türkiye (TR) Plakalı,Sahibinden,Hayır
İstanbul,Beylikdüzü,Kavaklı Mh.,333.500 TL,25 Ekim 2024,1207087045,Fiat,Linea,1.3 Multijet Pop,2015,Dizel,Manuel,İkinci El,193.000,Sedan,95 hp,1248 cc,Önden Çekiş,Beyaz,Hayır,Evet,Türkiye (TR) Plakalı,Sahibinden,Hayır
İzmir,Buca,İnönü Mh.,319.999 TL,25 Ekim 2024,1200017508,Fiat,Marea,1.6 Liberty,2004,Benzin & LPG,Manuel,İkinci El,165.000,Sedan,103 hp,1596 cc,Önden Çekiş,Gümüş Gri,Hayır,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
Karabük,Merkez,Kurtuluş Mh.,699.900 TL,25 Ekim 2024,1207087665,Fiat,Egea,1.3 Multijet Urban,2016,Dizel,Manuel,İkinci El,125.000,Sedan,95 hp,1248 cc,Önden Çekiş,Gümüş Gri,Hayır,Hayır,Türkiye (TR) Plakalı,Galeriden,Hayır
İstanbul,Beylikdüzü,Marmara Mah.,367.000 TL,25 Ekim 2024,1206641161,Fiat,Linea,1.4 Fire Easy,2014,Benzin & LPG,Manuel,İkinci El,173.000,Sedan,77 hp,1368 cc,Önden Çekiş,Beyaz,Hayır,Hayır,Türkiye (TR) Plakalı,Sahibinden,Hayır
İstanbul,Üsküdar,Altunizade Mah.,919.750 TL,25 Ekim 2024,1203410597,Fiat,Egea,1.6 Multijet Easy,2023,Dizel,Otomatik,İkinci El,27.000,Sedan,130 hp,1598 cc,Önden Çekiş,Beyaz,Evet,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
İstanbul,Beylikdüzü,Yakuplu Mah.,387.000 TL,25 Ekim 2024,1206886706,Fiat,Punto,1.3 Multijet Pop,2013,Dizel,Manuel,İkinci El,196.000,Hatchback 5 kapı,75 hp,1248 cc,Önden Çekiş,Beyaz,Hayır,Hayır,Türkiye (TR) Plakalı,Sahibinden,Hayır
İstanbul,Bağcılar,100. Yıl Mh.,769.950 TL,25 Ekim 2024,1207076963,Fiat,Egea,1.3 Multijet Easy Plus,2021,Dizel,Manuel,İkinci El,33.000,Sedan,76 - 100 HP,1300 cm3' e kadar,Önden Çekiş,Beyaz,Hayır,Hayır,Türkiye (TR) Plakalı,Galeriden,Hayır
İstanbul,Bağcılar,100. Yıl Mh.,648.000 TL,25 Ekim 2024,1207072970,Fiat,Egea,1.3 Multijet Easy,2020,Dizel,Manuel,İkinci El,129.000,Sedan,95 hp,1248 cc,Önden Çekiş,Beyaz,Hayır,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
İstanbul,Pendik,Fevzi Çakmak Mh.,365.000 TL,25 Ekim 2024,1207077730,Fiat,Linea,1.3 Multijet Active Plus,2013,Dizel,Manuel,İkinci El,277.000,Sedan,95 hp,1248 cc,Önden Çekiş,Beyaz,Hayır,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
Antalya,Alanya,Güller Pınarı Mh.,749.500 TL,25 Ekim 2024,1207071615,Fiat,Egea,1.6 Multijet Easy,2020,Dizel,Otomatik,İkinci El,124.500,Sedan,120 hp,1598 cc,Önden Çekiş,Beyaz,Hayır,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
Diyarbakır,Kayapınar,Diclekent Mh.,380.000 TL,25 Ekim 2024,1207072812,Fiat,Punto,Grande 1.4 Fire Dynamic,2008,Benzin,Otomatik,İkinci El,120.000,Hatchback 5 kapı,51 - 75 HP,1300 cm3' e kadar,Önden Çekiş,Siyah,Hayır,Evet,Türkiye (TR) Plakalı,Galeriden,Evet
İzmir,Buca,İnönü Mh.,382.750 TL,25 Ekim 2024,1206380065,Fiat,Linea,1.3 Multijet Active Plus,2012,Dizel,Manuel,İkinci El,225.000,Sedan,95 hp,1248 cc,Önden Çekiş,Beyaz,Hayır,Hayır,Türkiye (TR) Plakalı,Sahibinden,Hayır
İstanbul,Ataşehir,Kayışdağı Mh.,589.000 TL,25 Ekim 2024,1207067925,Fiat,Egea,1.3 Multijet Easy,2020,Dizel,Manuel,İkinci El,158.000,Sedan,95 hp,1248 cc,Önden Çekiş,Beyaz,Hayır,Hayır,Türkiye (TR) Plakalı,Galeriden,Hayır
Bursa,Osmangazi,Panayır Mh.,440.000 TL,25 Ekim 2024,1207067866,Fiat,Linea,1.3 Multijet Actual Plus,2014,Dizel,Manuel,İkinci El,160.000,Sedan,95 hp,1248 cc,Önden Çekiş,Beyaz,Hayır,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
Denizli,Pamukkale,Asmalıevler Mh.,549.000 TL,25 Ekim 2024,1207068318,Fiat,Egea,1.4 Fire Easy,2016,Benzin,Manuel,İkinci El,148.000,Sedan,95 hp,1368 cc,Önden Çekiş,Beyaz,Hayır,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
Kayseri,Melikgazi,Yıldırım Beyazıt Mh.,376.000 TL,25 Ekim 2024,1196885971,Fiat,Punto,1.4 Easy S&S,2013,Benzin & LPG,Manuel,İkinci El,167.000,Hatchback 5 kapı,77 hp,1368 cc,Önden Çekiş,Siyah,Hayır,Hayır,Türkiye (TR) Plakalı,Galeriden,Hayır
İstanbul,Bağcılar,100. Yıl Mh.,698.750 TL,25 Ekim 2024,1193159856,Fiat,Egea,1.3 Multijet Easy,2022,Dizel,Manuel,İkinci El,116.000,Sedan,95 hp,1248 cc,Önden Çekiş,Beyaz,Evet,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
Kocaeli,Derince,Yenikent Mah.,279.500 TL,25 Ekim 2024,1207055226,Fiat,Palio,1.2 Active,2005,Benzin,Manuel,İkinci El,189.000,Hatchback 5 kapı,80 hp,1242 cc,Önden Çekiş,Gri,Evet,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
Mersin,Toroslar,Korukent Mah.,599.000 TL,25 Ekim 2024,1207058047,Fiat,Egea,1.4 Fire Easy,2020,Benzin,Manuel,İkinci El,148.000,Sedan,95 hp,1368 cc,Önden Çekiş,Beyaz,Hayır,Hayır,Türkiye (TR) Plakalı,Galeriden,Hayır
Uşak,Eşme,İstasyon Mh.,799.000 TL,25 Ekim 2024,1203379413,Fiat,Egea,1.4 Fire Urban,2023,Benzin,Manuel,İkinci El,30.000,Sedan,95 hp,1368 cc,Önden Çekiş,Mavi,Evet,Hayır,Türkiye (TR) Plakalı,Galeriden,Hayır
Kütahya,Merkez,Osmangazi Mah.,689.000 TL,25 Ekim 2024,1203364794,Fiat,Egea,1.4 Fire Easy Plus,2019,Benzin,Manuel,İkinci El,39.050,Sedan,95 hp,1368 cc,Önden Çekiş,Beyaz,Hayır,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
Kocaeli,Darıca,Nenehatun Mh.,390.000 TL,25 Ekim 2024,1203854340,Fiat,Linea,1.4 Turbo Dynamic,2009,Benzin & LPG,Manuel,İkinci El,198.324,Sedan,120 hp,1368 cc,Önden Çekiş,Füme,Evet,Hayır,Türkiye (TR) Plakalı,Galeriden,Hayır
İstanbul,Ümraniye,İstiklal Mh.,914.900 TL,25 Ekim 2024,1203362916,Fiat,Egea,1.6 Multijet Easy,2023,Dizel,Otomatik,İkinci El,68.000,Sedan,130 hp,1598 cc,Önden Çekiş,Füme,Evet,Evet,Türkiye (TR) Plakalı,Galeriden,Evet
Antalya,Muratpaşa,Yeşilbahçe Mh.,890.000 TL,25 Ekim 2024,1207042919,Fiat,Egea,1.3 Multijet Easy Plus,2023,Dizel,Manuel,İkinci El,19.000,Sedan,95 hp,1248 cc,Önden Çekiş,Beyaz,Evet,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
Sivas,Merkez,Gültepe Mh.,775.000 TL,25 Ekim 2024,1207029396,Fiat,Egea,1.4 Fire Easy Plus,2023,Benzin,Manuel,İkinci El,12.000,Sedan,95 hp,1368 cc,Önden Çekiş,Gri,Evet,Hayır,Türkiye (TR) Plakalı,Galeriden,Hayır
İstanbul,Beylikdüzü,Cumhuriyet Mah.,285.000 TL,25 Ekim 2024,1207027309,Fiat,Palio,1.3 Multijet Dynamic,2005,Dizel,Manuel,İkinci El,250.000,Hatchback 5 kapı,70 hp,1248 cc,Önden Çekiş,Kırmızı,Hayır,Hayır,Türkiye (TR) Plakalı,Sahibinden,Evet
İstanbul,Ataşehir,Kayışdağı Mh.,688.750 TL,25 Ekim 2024,1203341439,Fiat,Egea,1.6 Multijet Easy,2020,Dizel,Otomatik,İkinci El,117.000,Sedan,120 hp,1598 cc,Önden Çekiş,Beyaz,Evet,Hayır,Türkiye (TR) Plakalı,Galeriden,Hayır
Kayseri,Kocasinan,Gevhernesibe Mah.,565.000 TL,25 Ekim 2024,1207020475,Fiat,Egea,1.3 Multijet Easy,2017,Dizel,Manuel,İkinci El,214.000,Sedan,95 hp,1248 cc,Önden Çekiş,Beyaz,Hayır,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
İstanbul,Bayrampaşa,Yıldırım Mh.,399.500 TL,25 Ekim 2024,1207019668,Fiat,Egea,1.4 Fire Easy,2020,Benzin & LPG,Manuel,İkinci El,535.000,Sedan,95 hp,1368 cc,Önden Çekiş,Beyaz,Hayır,Hayır,Türkiye (TR) Plakalı,Sahibinden,Hayır
İstanbul,Bağcılar,Göztepe Mh.,885.000 TL,25 Ekim 2024,1202062599,Fiat,Egea,1.5 T4 Hibrit Easy,2023,Benzin,Otomatik,İkinci El,47.000,Sedan,130 hp,1469 cc,Önden Çekiş,Beyaz,Evet,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
Kayseri,Kocasinan,Gevhernesibe Mah.,300.000 TL,25 Ekim 2024,1207012095,Fiat,Palio,1.2 Go,2004,Benzin,Manuel,İkinci El,254.000,Hatchback 5 kapı,80 hp,1242 cc,Önden Çekiş,Mavi,Hayır,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
Gaziantep,Şehitkamil,Fıstıklık Mh.,559.000 TL,25 Ekim 2024,1207007069,Fiat,Egea,1.6 Multijet Comfort,2017,Dizel,Otomatik,İkinci El,290.000,Sedan,120 hp,1598 cc,Önden Çekiş,Beyaz,Hayır,Hayır,Türkiye (TR) Plakalı,Galeriden,Hayır
Kütahya,Tavşanlı,Ulucami Mah.,245.000 TL,25 Ekim 2024,1203308899,Fiat,Tipo,1.4 S,1997,Benzin & LPG,Manuel,İkinci El,270.000,Hatchback 5 kapı,70 hp,1372 cc,Önden Çekiş,Beyaz,Hayır,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
İstanbul,Başakşehir,İkitelli OSB,230.000 TL,25 Ekim 2024,1205629891,Fiat,Palio,1.2 S,2002,Benzin & LPG,Manuel,İkinci El,248.000,Hatchback 5 kapı,75 hp,1242 cc,Önden Çekiş,Mavi,Hayır,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
İstanbul,Başakşehir,İkitelli OSB,480.000 TL,25 Ekim 2024,1206120191,Fiat,Linea,1.3 Multijet Pop,2017,Dizel,Manuel,İkinci El,214.000,Sedan,95 hp,1248 cc,Önden Çekiş,Beyaz,Hayır,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
İstanbul,Başakşehir,İkitelli OSB,480.000 TL,25 Ekim 2024,1206101861,Fiat,Linea,1.3 Multijet Pop,2017,Dizel,Manuel,İkinci El,208.000,Sedan,95 hp,1248 cc,Önden Çekiş,Beyaz,Hayır,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
İstanbul,Beylikdüzü,Cumhuriyet Mah.,223.500 TL,25 Ekim 2024,1206991239,Fiat,Palio,1.2 EL,2005,Benzin & LPG,Manuel,İkinci El,301.000,Hatchback 5 kapı,80 hp,1242 cc,Önden Çekiş,Gümüş Gri,Evet,Hayır,Türkiye (TR) Plakalı,Sahibinden,Evet
Ankara,Etimesgut,Süvari Mh.,399.000 TL,25 Ekim 2024,1206989559,Fiat,Linea,1.3 Multijet Urban,2012,Dizel,Manuel,İkinci El,276.500,Sedan,95 hp,1248 cc,Önden Çekiş,Beyaz,Hayır,Hayır,Türkiye (TR) Plakalı,Sahibinden,Hayır
İstanbul,Bağcılar,Göztepe Mh.,908.750 TL,25 Ekim 2024,1206987655,Fiat,Egea,1.6 Multijet Easy,2022,Dizel,Otomatik,İkinci El,22.000,Sedan,130 hp,1598 cc,Önden Çekiş,Beyaz,Evet,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
Kocaeli,Çayırova,Özgürlük Mh.,599.000 TL,25 Ekim 2024,1203291812,Fiat,Egea,1.3 Multijet Easy,2020,Dizel,Manuel,İkinci El,139.000,Sedan,95 hp,1248 cc,Önden Çekiş,Beyaz,Evet,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
Kocaeli,Çayırova,Özgürlük Mh.,599.000 TL,25 Ekim 2024,1203291812,Fiat,Egea,1.3 Multijet Easy,2020,Dizel,Manuel,İkinci El,139.000,Sedan,95 hp,1248 cc,Önden Çekiş,Beyaz,Evet,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
İstanbul,Ataşehir,İnönü Mh.,597.000 TL,25 Ekim 2024,1203296720,Fiat,Egea,1.3 Multijet Urban Plus,2020,Dizel,Manuel,İkinci El,217.492,Sedan,95 hp,1248 cc,Önden Çekiş,Beyaz,Hayır,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
Aksaray,Merkez,Hacılar Harmanı Mh.,270.000 TL,25 Ekim 2024,1206987343,Fiat,Palio,1.2 SL,2005,Benzin,Manuel,İkinci El,126.000,Hatchback 5 kapı,73 hp,1242 cc,Önden Çekiş,Kırmızı,Hayır,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
Muğla,Fethiye,Karaçulha Mh.,348.000 TL,25 Ekim 2024,1196101979,Fiat,Palio,1.3 Multijet EL,2004,Dizel,Manuel,İkinci El,173.000,Hatchback 5 kapı,70 hp,1248 cc,Önden Çekiş,Gri,Hayır,Hayır,Türkiye (TR) Plakalı,Galeriden,Hayır
Kayseri,Melikgazi,Keykubat Mah.,173.000 TL,25 Ekim 2024,1196768320,Fiat,Tipo,1.6 S,1995,Benzin & LPG,Manuel,İkinci El,275.000,Hatchback 5 kapı,75 hp,1581 cc,Önden Çekiş,Kırmızı,Hayır,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
Kocaeli,Çayırova,Yeni Mah.,235.000 TL,25 Ekim 2024,1206965425,Fiat,Palio,1.3 Multijet Active,2007,Dizel,Manuel,İkinci El,360.000,Hatchback 5 kapı,70 hp,1248 cc,Önden Çekiş,Beyaz,Hayır,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
İstanbul,Bahçelievler,Yenibosna Merkez Mah.,639.000 TL,25 Ekim 2024,1206571916,Fiat,500 Ailesi,500L 1.3 Mjet PopStar,2013,Dizel,Otomatik,İkinci El,170.000,MPV,85 hp,1248 cc,Önden Çekiş,Beyaz,Hayır,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
İstanbul,Esenyurt,Turgut Özal Mh.,887.000 TL,24 Ekim 2024,1206898863,Fiat,Egea,1.6 Multijet Urban Plus,2020,Dizel,Otomatik,İkinci El,70.000,Hatchback 5 kapı,120 hp,1598 cc,Önden Çekiş,Beyaz,Evet,Hayır,Türkiye (TR) Plakalı,Galeriden,Hayır
Ankara,Yenimahalle,İvedik OSB,769.000 TL,24 Ekim 2024,1206931144,Fiat,500 Ailesi,500 1.2 Lounge,2012,Benzin,Otomatik,İkinci El,127.000,Hatchback 3 kapı,69 hp,1242 cc,Önden Çekiş,Beyaz,Evet,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
Antalya,Kepez,Kepez Mah.,569.750 TL,24 Ekim 2024,1206922782,Fiat,Egea,1.6 Multijet Easy,2019,Dizel,Otomatik,İkinci El,216.000,Sedan,120 hp,1598 cc,Önden Çekiş,Beyaz,Hayır,Evet,Türkiye (TR) Plakalı,Galeriden,Evet
Ankara,Akyurt,Saracalar Mah.,509.000 TL,24 Ekim 2024,1203211380,Fiat,Egea,1.3 Multijet Easy,2017,Dizel,Manuel,İkinci El,270.000,Sedan,95 hp,1248 cc,Önden Çekiş,Beyaz,Hayır,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
İstanbul,Bağcılar,100. Yıl Mh.,655.000 TL,24 Ekim 2024,1206541600,Fiat,Egea,1.3 Multijet Easy Plus,2021,Dizel,Manuel,İkinci El,199.000,Sedan,76 - 100 HP,1300 cm3' e kadar,Önden Çekiş,Beyaz,Hayır,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
İzmir,Buca,Mustafa Kemal Mah.,875.000 TL,24 Ekim 2024,1206916570,Fiat,Egea,1.3 Multijet Easy Plus,2023,Dizel,Manuel,İkinci El,40.000,Sedan,95 hp,1248 cc,Önden Çekiş,Füme,Evet,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
İstanbul,Pendik,Kavakpınar Mh.,649.000 TL,24 Ekim 2024,1206898701,Fiat,Egea,1.3 Multijet Easy,2021,Dizel,Manuel,İkinci El,129.000,Sedan,95 hp,1248 cc,Önden Çekiş,Beyaz,Hayır,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
Elazığ,Merkez,Sürsürü Mh.,699.500 TL,24 Ekim 2024,1206883637,Fiat,Egea,1.4 Fire Urban,2021,Benzin,Manuel,İkinci El,77.000,Sedan,95 hp,1368 cc,Önden Çekiş,Beyaz,Evet,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
Manisa,Turgutlu,Yeni Mah.,665.000 TL,24 Ekim 2024,1206883852,Fiat,Egea,1.4 Fire Easy Plus,2021,Benzin,Manuel,İkinci El,86.500,Sedan,76 - 100 HP,1301 - 1600 cm3,Önden Çekiş,Beyaz,Hayır,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
Kocaeli,Kartepe,Fatih Sultan Mehmet Mh.,459.000 TL,24 Ekim 2024,1206878866,Fiat,Linea,1.3 Multijet Active Plus,2012,Dizel,Manuel,İkinci El,168.500,Sedan,90 hp,1248 cc,Önden Çekiş,Füme,Hayır,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
İzmir,Buca,Göksu Mh.,393.750 TL,24 Ekim 2024,1206875987,Fiat,Linea,1.3 Multijet Active Plus,2014,Dizel,Manuel,İkinci El,232.000,Sedan,95 hp,1248 cc,Önden Çekiş,Beyaz,Hayır,Hayır,Türkiye (TR) Plakalı,Sahibinden,Hayır
Antalya,Kepez,Habibler Mh.,665.000 TL,24 Ekim 2024,1206860557,Fiat,Egea,1.3 Multijet Easy,2020,Dizel,Manuel,İkinci El,140.000,Sedan,95 hp,1248 cc,Önden Çekiş,Beyaz,Hayır,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
İstanbul,Ümraniye,Huzur Mah.,549.500 TL,24 Ekim 2024,1206870916,Fiat,Egea,1.3 Multijet Easy,2019,Dizel,Manuel,İkinci El,149.500,Sedan,95 hp,1248 cc,Önden Çekiş,Beyaz,Hayır,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
Antalya,Muratpaşa,Meydankavağı Mh.,469.000 TL,24 Ekim 2024,1206869462,Fiat,Punto,EVO 1.3 Multijet Dynamic,2011,Dizel,Manuel,İkinci El,112.000,Hatchback 5 kapı,75 hp,1248 cc,Önden Çekiş,Siyah,Hayır,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
İstanbul,Maltepe,Bağlarbaşı Mh.,498.750 TL,24 Ekim 2024,1206862533,Fiat,Linea,1.3 Multijet Pop,2017,Dizel,Manuel,İkinci El,211.560,Sedan,95 hp,1248 cc,Önden Çekiş,Beyaz,Hayır,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
İstanbul,Ataşehir,İçerenköy Mh.,450.000 TL,24 Ekim 2024,1206862668,Fiat,Punto,1.3 Multijet Lounge,2013,Dizel,Manuel,İkinci El,216.000,Hatchback 5 kapı,75 hp,1248 cc,Önden Çekiş,Gri,Hayır,Hayır,Türkiye (TR) Plakalı,Sahibinden,Evet
